file,comment,clean_comment
/content/pandas/pandas/tests/indexes/base_class/test_setops.py,# sort=True is supported as of GH#??,sorttrue is supported as of gh
/content/pandas/pandas/tests/util/test_assert_series_equal.py,"# These two arrays should be equal, nesting could cause issue",these two arrays should be equal nesting could cause issue
/content/pandas/pandas/tests/reshape/test_cut.py,# small positive values,small positive values
/content/pandas/pandas/tests/series/indexing/test_getitem.py,# GH#42825 enforced in 2.0,gh enforced in
/content/pandas/pandas/io/parsers/python_parser.py,# No quotation so just remove BOM from first element,no quotation so just remove bom from first element
/content/pandas/pandas/tests/frame/methods/test_to_csv.py,# see gh-20353,see gh
/content/pandas/pandas/core/generic.py,"# ""object"" defined the type as ""Callable[[object], int]"")",object defined the type as callableobject int
/content/pandas/pandas/tests/reshape/test_cut.py,# for why we round to 8 seconds instead of 7,for why we round to  seconds instead of
/content/pandas/pandas/core/generic.py,# Numeric Methods,numeric methods
/content/pandas/pandas/core/generic.py,# defined,defined
/content/pandas/pandas/tests/io/pytables/test_read.py,# read with IndexError before another write,read with indexerror before another write
/content/pandas/pandas/core/indexes/period.py,# Index Methods,index methods
/content/pandas/pandas/core/dtypes/dtypes.py,"# np.nan isn't a singleton, so we may end up with multiple",npnan isnt a singleton so we may end up with multiple
/content/pandas/pandas/tests/reshape/merge/test_join.py,# no overlapping blocks,no overlapping blocks
/content/pandas/pandas/tests/resample/test_resample_api.py,# group_keys=False,groupkeysfalse
/content/pandas/pandas/tests/tools/test_to_datetime.py,# https://github.com/pandas-dev/pandas/issues/50108,httpsgithubcompandasdevpandasissues
/content/pandas/pandas/core/ops/array_ops.py,# can never use numexpr,can never use numexpr
/content/pandas/pandas/core/dtypes/dtypes.py,# type variables in those subclasses are explicitly typed below.,type variables in those subclasses are explicitly typed below
/content/pandas/pandas/io/parquet.py,# use get_handle only when we are very certain that it is not a directory,use gethandle only when we are very certain that it is not a directory
/content/pandas/pandas/io/pytables.py,# take only valid axis labels,take only valid axis labels
/content/pandas/pandas/tests/scalar/timestamp/methods/test_tz_convert.py,# from system utc to real utc,from system utc to real utc
/content/pandas/pandas/io/parquet.py,# cannot use get_handle as write() does not accept file buffers,cannot use gethandle as write does not accept file buffers
/content/pandas/pandas/tests/frame/test_unary.py,# TODO: assert that we have copies?,todo assert that we have copies
/content/pandas/pandas/tests/series/test_arithmetic.py,# datetime ops with a non-unique index,datetime ops with a nonunique index
/content/pandas/pandas/tests/indexing/test_chaining_and_caching.py,# not updating cache on series setting with slices,not updating cache on series setting with slices
/content/pandas/pandas/tests/config/test_config.py,# reroute d.dep to d.a,reroute ddep to da
/content/pandas/pandas/core/series.py,# GH#19275 SingleBlockManager input should only be called,gh singleblockmanager input should only be called
/content/pandas/pandas/tests/dtypes/test_missing.py,# type: ignore[call-overload],type ignorecalloverload
/content/pandas/pandas/tests/tools/test_to_datetime.py,# Unfortunately this test between 12 and 1 AM Samoa time,unfortunately this test between  and  am samoa time
/content/pandas/pandas/core/internals/construction.py,# TODO: reuse anything in try_cast?,todo reuse anything in trycast
/content/pandas/pandas/io/parsers/python_parser.py,# The first element of this row is the one that could have the,the first element of this row is the one that could have the
/content/pandas/pandas/io/parsers/python_parser.py,# infer column indices from self.usecols if it is specified.,infer column indices from selfusecols if it is specified
/content/pandas/pandas/core/computation/scope.py,# get the hex repr of the binary char and remove 0x and pad by pad_size,get the hex repr of the binary char and remove x and pad by padsize
/content/pandas/pandas/core/computation/scope.py,# only increment if the variable gets put in the scope,only increment if the variable gets put in the scope
/content/pandas/pandas/io/html.py,"# list of rows, each a list of str",list of rows each a list of str
/content/pandas/pandas/tests/arrays/test_timedeltas.py,# TODO: 2022-07-11 this is the only test that gets to DTA.tz_convert,todo  this is the only test that gets to dtatzconvert
/content/pandas/pandas/io/pytables.py,# initial element,initial element
/content/pandas/pandas/tests/arrays/sparse/test_arithmetics.py,# sparse & sparse,sparse  sparse
/content/pandas/pandas/io/pytables.py,# column must be an indexable or a data column,column must be an indexable or a data column
/content/pandas/pandas/io/parquet.py,# pyright: ignore[reportUnusedImport] # noqa: F401,pyright ignorereportunusedimport  noqa f
/content/pandas/pandas/__init__.py,# pragma: no cover,pragma no cover
/content/pandas/pandas/tests/io/test_orc.py,# ORC does not preserve distinction between string and large string,orc does not preserve distinction between string and large string
/content/pandas/pandas/io/pytables.py,# TODO: prove that we only get here with axis == 1?,todo prove that we only get here with axis
/content/pandas/pandas/tests/frame/indexing/test_getitem.py,# boolean indexing,boolean indexing
/content/pandas/pandas/core/generic.py,# is specified,is specified
/content/pandas/pandas/tests/copy_view/test_methods.py,"# Test this twice, since the second time, the item cache will be",test this twice since the second time the item cache will be
/content/pandas/pandas/core/dtypes/dtypes.py,# This can be removed if/when pyarrow addresses it:,this can be removed ifwhen pyarrow addresses it
/content/pandas/pandas/tests/io/test_clipboard.py,# Tests that the default behavior of to_clipboard is tab,tests that the default behavior of toclipboard is tab
/content/pandas/pandas/tests/extension/test_sparse.py,# TODO: this fails bc we do not pass through nullable_string_dtype;,todo this fails bc we do not pass through nullablestringdtype
/content/pandas/pandas/core/dtypes/dtypes.py,# GH#36280 the ordering of checks here is for performance,gh the ordering of checks here is for performance
/content/pandas/pandas/tests/frame/test_query_eval.py,# noqa: F841,noqa f
/content/pandas/pandas/tests/scalar/timestamp/test_arithmetic.py,"# spring forward, + ""7"" hours",spring forward   hours
/content/pandas/pandas/tests/frame/methods/test_astype.py,# in the keys of the dtype dict,in the keys of the dtype dict
/content/pandas/pandas/tests/frame/methods/test_astype.py,"# do real test: object dtype to a specified tz, different from construction tz.",do real test object dtype to a specified tz different from construction tz
/content/pandas/pandas/io/pytables.py,"# ""Optional[Any]""; expected ""str""  [arg-type]",optionalany expected str  argtype
/content/pandas/pandas/tests/io/json/test_ujson.py,# Column indexed by default.,column indexed by default
/content/pandas/pandas/io/parsers/python_parser.py,# The original set is stored in self.original_columns.,the original set is stored in selforiginalcolumns
/content/pandas/pandas/core/generic.py,# perform the reindex on the axes,perform the reindex on the axes
/content/pandas/pandas/tests/io/parser/test_c_parser_only.py,"# gh-16530: the file-like need not have a ""next"" or ""__next__""",gh the filelike need not have a next or next
/content/pandas/pandas/tests/tools/test_to_datetime.py,# coercion,coercion
/content/pandas/pandas/core/ops/array_ops.py,# e.g. test_df_add_flex_filled_mixed_dtypes,eg testdfaddflexfilledmixeddtypes
/content/pandas/pandas/tests/frame/test_query_eval.py,# noqa: F841,noqa f
/content/flask/tests/test_helpers.py,# Test with static file handler.,test with static file handler
/content/pandas/pandas/tests/frame/methods/test_dot.py,# Check series argument,check series argument
/content/pandas/pandas/core/generic.py,# type: ignore[operator],type ignoreoperator
/content/pandas/pandas/tests/arrays/floating/test_repr.py,# smoke tests on auto dtype construction,smoke tests on auto dtype construction
/content/pandas/pandas/tests/extension/base/ops.py,#  In some cases pandas dtype inference on the scalar result may not,in some cases pandas dtype inference on the scalar result may not
/content/pandas/pandas/tests/frame/test_repr.py,# https://docs.python.org/3/reference/datamodel.html#object.__repr__,httpsdocspythonorgreferencedatamodelhtmlobjectrepr
/content/flask/src/flask/json/__init__.py,# type: ignore[return-value],type ignorereturnvalue
/content/pandas/pandas/tests/io/pytables/test_read.py,"# Categorical dtype not supported for ""fixed"" format. So no need",categorical dtype not supported for fixed format so no need
/content/pandas/pandas/tests/tools/test_to_datetime.py,# https://github.com/pandas-dev/pandas/issues/12649,httpsgithubcompandasdevpandasissues
/content/requests/src/requests/hooks.py,# TODO: response is the only one,todo response is the only one
/content/pandas/pandas/core/arrays/datetimelike.py,# TODO: copy or view?,todo copy or view
/content/pandas/pandas/core/generic.py,# Case for non-unique axis,case for nonunique axis
/content/pandas/pandas/tests/tools/test_to_datetime.py,# but we want to make sure that we are coercing,but we want to make sure that we are coercing
/content/pandas/pandas/tests/series/indexing/test_getitem.py,"# with getitem, when assigning with a Series, it is not first aligned",with getitem when assigning with a series it is not first aligned
/content/pandas/pandas/core/dtypes/dtypes.py,# pickle -> need to set the settable private ones here (see GH26067),pickle  need to set the settable private ones here see gh
/content/pandas/pandas/tests/window/test_base_indexer.py,# Check that the rolling function output matches applying an alternative,check that the rolling function output matches applying an alternative
/content/pandas/pandas/tests/window/test_ewm.py,# exception raised is Exception,exception raised is exception
/content/pandas/pandas/tests/indexes/interval/test_astype.py,"# Until we decide what the exception message _should_ be, we",until we decide what the exception message should be we
/content/pandas/pandas/io/common.py,"# ""Union[TextIOWrapper, GzipFile, BaseBuffer, typing.IO[bytes],",uniontextiowrapper gzipfile basebuffer typingiobytes
/content/pandas/pandas/core/interchange/buffer.py,"# necessary. If that's not allowed, we need to raise an exception.",necessary if thats not allowed we need to raise an exception
/content/pandas/pandas/tests/series/test_arithmetic.py,# non-equality is not comparable,nonequality is not comparable
/content/pandas/pandas/core/dtypes/dtypes.py,# To mirror DatetimeTZDtype,to mirror datetimetzdtype
/content/pandas/pandas/tests/extension/conftest.py,#  only numeric and timedelta-like dtypes will need to implement this.,only numeric and timedeltalike dtypes will need to implement this
/content/pandas/pandas/io/common.py,# Use binary mode when converting path-like objects to file-like objects (fsspec),use binary mode when converting pathlike objects to filelike objects fsspec
/content/pandas/pandas/tests/copy_view/test_methods.py,# mutating obj2 triggers a copy-on-write for that column / block,mutating obj triggers a copyonwrite for that column  block
/content/pandas/pandas/core/generic.py,"# i.e. DataFrame, we cast to ndarray",ie dataframe we cast to ndarray
/content/pandas/pandas/tests/scalar/interval/test_arithmetic.py,# https://github.com/pandas-dev/pandas/issues/32023,httpsgithubcompandasdevpandasissues
/content/pandas/pandas/tests/series/methods/test_nlargest.py,# GH#26154 : ensure True > False,gh  ensure true  false
/content/pandas/pandas/core/series.py,"# Hashable], Callable[[Any], Hashable], None]""",hashable callableany hashable none
/content/pandas/pandas/io/excel/_pyxlsb.py,# And set the result to the book-attribute,and set the result to the bookattribute
/content/pandas/pandas/core/interchange/from_dataframe.py,# Doing module in order to not get ``IndexError`` for,doing module in order to not get indexerror for
/content/pandas/pandas/core/dtypes/base.py,"# error: Non-overlapping equality check (left operand type: ""str"", right",error nonoverlapping equality check left operand type str right
/content/pandas/pandas/tests/resample/test_resample_api.py,# passed lambda,passed lambda
/content/pandas/pandas/tests/tools/test_to_datetime.py,# https://github.com/pandas-dev/pandas/issues/12649,httpsgithubcompandasdevpandasissues
/content/pandas/pandas/tests/io/pytables/test_compat.py,"#     if legacy_file.endswith(""table.h5""):",if legacyfileendswithtableh
/content/pandas/pandas/io/pytables.py,"# we cannot serialize this data, so report an exception on a column",we cannot serialize this data so report an exception on a column
/content/pandas/pandas/tests/window/test_timeseries_window.py,# we need to roll the days separately,we need to roll the days separately
/content/pandas/pandas/core/dtypes/dtypes.py,"# maybe a string like datetime64[ns, tz], which we support for",maybe a string like datetimens tz which we support for
/content/pandas/pandas/io/common.py,"# ""dict[str, Any]""",dictstr any
/content/pandas/pandas/tests/strings/test_cat.py,# Series/Index with array,seriesindex with array
/content/pandas/pandas/tests/strings/test_cat.py,# box == Index,box  index
/content/requests/tests/conftest.py,# to deselect the test via command-line when trustme is not available,to deselect the test via commandline when trustme is not available
/content/pandas/pandas/tests/frame/methods/test_astype.py,# https://github.com/pandas-dev/pandas/issues/41797,httpsgithubcompandasdevpandasissues
/content/pandas/pandas/core/generic.py,# the block manager shows then reversed,the block manager shows then reversed
/content/pandas/pandas/tests/series/test_arithmetic.py,# GH#33930 consistent name-retention,gh consistent nameretention
/content/pandas/pandas/io/pytables.py,# figure out how to split the value,figure out how to split the value
/content/flask/examples/tutorial/tests/test_auth.py,# check that the user is loaded from the session,check that the user is loaded from the session
/content/pandas/pandas/tests/config/test_config.py,# current value is reported,current value is reported
/content/pandas/pandas/io/pytables.py,# have written a sentinel. Here we replace it with the original.,have written a sentinel here we replace it with the original
/content/pandas/pandas/tests/series/methods/test_reindex.py,# https://github.com/pandas-dev/pandas/issues/42921,httpsgithubcompandasdevpandasissues
/content/pandas/pandas/core/generic.py,"# should not happen, but better be on the safe side",should not happen but better be on the safe side
/content/pandas/pandas/core/series.py,# type: ignore[override],type ignoreoverride
/content/pandas/pandas/tests/frame/methods/test_pop.py,# gh-10912: inplace ops cause caching issue,gh inplace ops cause caching issue
/content/pandas/pandas/core/series.py,# e.g. test_basic_getitem_setitem_corner,eg testbasicgetitemsetitemcorner
/content/pandas/pandas/tests/series/methods/test_compare.py,# We want to make sure the relevant NaNs do not get dropped,we want to make sure the relevant nans do not get dropped
/content/pandas/pandas/io/parsers/python_parser.py,# Remove empty lines and lines with only one whitespace value,remove empty lines and lines with only one whitespace value
/content/pandas/pandas/core/series.py,"# For backwards compatibility, keep columns as [0] instead of",for backwards compatibility keep columns as  instead of
/content/pandas/pandas/tests/frame/test_repr.py,# columns but no index,columns but no index
/content/pandas/pandas/io/pytables.py,# validate the version,validate the version
/content/pandas/pandas/tests/window/test_base_indexer.py,# Example found in computation.rst,example found in computationrst
/content/pandas/doc/make.py,# external libraries (namely Sphinx) to compile this module and resolve,external libraries namely sphinx to compile this module and resolve
/content/pandas/pandas/core/series.py,"# class ""NDFrame"")",class ndframe
/content/pandas/pandas/tests/frame/test_repr.py,# this travels an improper code path,this travels an improper code path
/content/pandas/pandas/core/arrays/datetimelike.py,#  operation is valid.  Defer to the PeriodArray implementation.,operation is valid  defer to the periodarray implementation
/content/pandas/pandas/tests/frame/test_query_eval.py,# noqa: F841,noqa f
/content/pandas/pandas/tests/indexes/datetimelike_/test_sort_values.py,# For compatibility check,for compatibility check
/content/pandas/pandas/io/pytables.py,# index columns,index columns
/content/pandas/pandas/tests/series/test_arithmetic.py,"# Some of these may end up in tests/arithmetic, but are not yet sorted",some of these may end up in testsarithmetic but are not yet sorted
/content/pandas/pandas/tests/io/parser/test_na_values.py,# see gh-14983,see gh
/content/pandas/pandas/tests/series/test_logical_ops.py,# filling,filling
/content/pandas/pandas/tests/indexes/categorical/test_indexing.py,# datetime category,datetime category
/content/pandas/pandas/core/dtypes/dtypes.py,"# Without is_na_fill_value in the comparison, those would be equal since",without isnafillvalue in the comparison those would be equal since
/content/pandas/pandas/core/generic.py,# Picklability,picklability
/content/pandas/pandas/io/pytables.py,# type: ignore[arg-type],type ignoreargtype
/content/pandas/pandas/tests/series/methods/test_round.py,# See GH#14197,see gh
/content/flask/tests/test_helpers.py,"# same as above, but with client context preservation",same as above but with client context preservation
/content/pandas/pandas/tests/test_algos.py,# different objects -> False,different objects  false
/content/pandas/pandas/tests/frame/methods/test_rank.py,"# f7u12, this does not work without extensive workaround",fu this does not work without extensive workaround
/content/pandas/pandas/tests/series/methods/test_reindex.py,# NO NaNs introduced,no nans introduced
/content/pandas/pandas/tests/tools/test_to_datetime.py,"# GH#13486, GH#50887, GH#57275",gh gh gh
/content/pandas/pandas/tests/extension/test_categorical.py,#  dtype on our result.,dtype on our result
/content/pandas/pandas/tests/io/parser/test_python_parser_only.py,# iterator=True has a separate code path than iterator=False,iteratortrue has a separate code path than iteratorfalse
/content/pandas/pandas/tests/tools/test_to_datetime.py,# with a format and coerce a single item to_datetime fails,with a format and coerce a single item todatetime fails
/content/pandas/pandas/io/pytables.py,# register our configuration options,register our configuration options
/content/pandas/pandas/tests/io/pytables/test_file_handling.py,# gh-4409: open & close multiple times,gh open  close multiple times
/content/pandas/pandas/tests/arrays/test_datetimes.py,#  sufficiently robust,sufficiently robust
/content/pandas/pandas/tests/test_algos.py,"# nan should map to na_sentinel, not reverse_indexer[na_sentinel]",nan should map to nasentinel not reverseindexernasentinel
/content/pandas/pandas/tests/tools/test_to_datetime.py,# coerce to float64,coerce to float
/content/pandas/pandas/io/parsers/python_parser.py,# type: ignore[arg-type],type ignoreargtype
/content/pandas/pandas/tests/indexes/categorical/test_reindex.py,# See GH16770,see gh
/content/pandas/pandas/core/arrays/datetimelike.py,# type: ignore[arg-type],type ignoreargtype
/content/pandas/pandas/tests/tools/test_to_datetime.py,# for origin as julian,for origin as julian
/content/pandas/pandas/core/generic.py,"# type: ignore[call-overload, misc]",type ignorecalloverload misc
/content/pandas/pandas/tests/frame/methods/test_to_csv.py,# add in some nans,add in some nans
/content/pandas/pandas/__init__.py,# based on the documentation.,based on the documentation
/content/pandas/pandas/tests/arrays/test_datetimes.py,# used to be ndarray,used to be ndarray
/content/pandas/pandas/core/array_algos/replace.py,# The shape of the mask can differ to that of the result,the shape of the mask can differ to that of the result
/content/pandas/pandas/core/arrays/datetimelike.py,# i.e. generator,ie generator
/content/pandas/pandas/io/common.py,# need to open the file first,need to open the file first
/content/pandas/pandas/core/internals/construction.py,# By the time we get here we have already checked treat_as_nested(data),by the time we get here we have already checked treatasnesteddata
/content/pandas/pandas/io/common.py,# memory mapping needs to be the first step,memory mapping needs to be the first step
/content/pandas/pandas/tests/window/test_timeseries_window.py,# in-range data,inrange data
/content/pandas/pandas/tests/test_algos.py,# and is tested separately; keeps first occurrence like ht.unique(),and is tested separately keeps first occurrence like htunique
/content/pandas/pandas/core/ops/array_ops.py,"#  `left - np.datetime64(""NaT"")` retains the unit of left.unit",left  npdatetimenat retains the unit of leftunit
/content/pandas/pandas/tests/frame/methods/test_combine_first.py,# see gh-20699,see gh
/content/pandas/pandas/tests/indexes/ranges/test_setops.py,#  a) we match Index[int64].difference and,a we match indexintdifference and
/content/pandas/pandas/io/pytables.py,"# Includes Index, RangeIndex, DatetimeIndex, TimedeltaIndex, PeriodIndex,",includes index rangeindex datetimeindex timedeltaindex periodindex
/content/pandas/pandas/tests/io/parser/test_c_parser_only.py,"# attribute despite having an ""__iter__"" attribute.",attribute despite having an iter attribute
/content/pandas/pandas/tests/frame/methods/test_to_csv.py,"# GH 3624, after appending columns, to_csv fails",gh  after appending columns tocsv fails
/content/pandas/pandas/_typing.py,# for _MMapWrapper,for mmapwrapper
/content/pandas/pandas/core/generic.py,# passed a nested dict/Series,passed a nested dictseries
/content/pandas/pandas/tests/frame/methods/test_astype.py,# error should be raised when using something other than column labels,error should be raised when using something other than column labels
/content/pandas/pandas/io/common.py,# Check whether the filename is to be opened in binary mode.,check whether the filename is to be opened in binary mode
/content/pandas/pandas/tests/window/test_ewm.py,"# ewm.std, ewm.var with bias=False require at least",ewmstd ewmvar with biasfalse require at least
/content/pandas/pandas/tests/indexes/multi/test_conversion.py,# are still sharing memory,are still sharing memory
/content/pandas/pandas/tests/frame/test_query_eval.py,# noqa: F841,noqa f
/content/pandas/pandas/tests/indexes/categorical/test_map.py,# Order of categories in result can be different,order of categories in result can be different
/content/pandas/pandas/io/pytables.py,# it should be None (see also 'doc example part 2'),it should be none see also doc example part
/content/pandas/pandas/tests/indexes/categorical/test_category.py,# Index.__new__ is honored.,indexnew is honored
/content/pandas/pandas/tests/frame/methods/test_to_csv.py,# needed if setUp becomes a class method,needed if setup becomes a class method
/content/pandas/pandas/core/dtypes/dtypes.py,"# _hash_categories returns a uint64, so use the negative",hashcategories returns a uint so use the negative
/content/pandas/pandas/tests/extension/base/ops.py,# comparison should match point-wise comparisons,comparison should match pointwise comparisons
/content/pandas/pandas/tests/frame/indexing/test_getitem.py,# boolean with the duplicate raises,boolean with the duplicate raises
/content/pandas/pandas/tests/io/parser/test_c_parser_only.py,# parsing whitespace and characters at chunk boundary),parsing whitespace and characters at chunk boundary
/content/pandas/pandas/io/parsers/python_parser.py,# either uncommented or blank to begin with,either uncommented or blank to begin with
/content/pandas/pandas/tests/base/test_misc.py,# Clear index caches so that len(obj) == 0 report 0 memory usage,clear index caches so that lenobj   report  memory usage
/content/pandas/pandas/tests/tools/test_to_datetime.py,# see GH-26097 for more,see gh for more
/content/pandas/pandas/tests/tools/test_to_datetime.py,# an array that is equal to Timestamp() parsing,an array that is equal to timestamp parsing
/content/pandas/pandas/io/pytables.py,"# Note: each of the `name` kwargs below are str, ensured",note each of the name kwargs below are str ensured
/content/pandas/pandas/io/common.py,# Created for compat with pyarrow read_csv,created for compat with pyarrow readcsv
/content/pandas/pandas/_typing.py,# internals,internals
/content/pandas/pandas/tests/tools/test_to_datetime.py,# Check that a couple of other similar paths work the same way,check that a couple of other similar paths work the same way
/content/pandas/pandas/_typing.py,# for arbitrary kwargs passed during reading/writing files,for arbitrary kwargs passed during readingwriting files
/content/pandas/pandas/io/pytables.py,# create the selection,create the selection
/content/pandas/pandas/tests/tools/test_to_datetime.py,# https://github.com/pandas-dev/pandas/issues/49298,httpsgithubcompandasdevpandasissues
/content/pandas/pandas/tests/io/parser/test_python_parser_only.py,# don't skip anything,dont skip anything
/content/pandas/pandas/io/parsers/python_parser.py,# legacy,legacy
/content/pandas/pandas/tests/extension/json/array.py,# those aliases are currently not working due to assumptions,those aliases are currently not working due to assumptions
/content/pandas/pandas/io/pytables.py,# directly return the result,directly return the result
/content/pandas/pandas/io/common.py,"# ""GzipFile"", variable has type ""Union[str, BaseBuffer]"")",gzipfile variable has type unionstr basebuffer
/content/pandas/pandas/io/parsers/python_parser.py,# column and index names on diff rows,column and index names on diff rows
/content/pandas/pandas/core/internals/construction.py,# DataFrame Constructor Interface,dataframe constructor interface
/content/pandas/pandas/core/series.py,# Template-Based Arithmetic/Comparison Methods,templatebased arithmeticcomparison methods
/content/pandas/pandas/core/arrays/datetimelike.py,# type: ignore[call-arg],type ignorecallarg
/content/pandas/pandas/tests/indexes/categorical/test_indexing.py,# non-unique,nonunique
/content/pandas/pandas/tests/io/json/test_ujson.py,# Unmatched bracket.,unmatched bracket
/content/pandas/pandas/tests/extension/base/ops.py,#  operation obj.__op_name__(other).,operation objopnameother
/content/pandas/pandas/io/pytables.py,"# Copy, otherwise values will be a view",copy otherwise values will be a view
/content/pandas/pandas/core/generic.py,# I/O Methods,io methods
